xmlName
InstalledPackage
CustomLabels
StaticResource
Scontrol
Certificate
LightningMessageChannel
LightningComponentBundle
AuraDefinitionBundle
ApexComponent
ApexPage
Queue
InboundNetworkConnection
OutboundNetworkConnection
NamedCredential
ExternalDataSource
ExternalServiceRegistration
Role
Group
GlobalValueSet
StandardValueSet
CustomPermission
CustomObject
ReportType
Report
Dashboard
AnalyticSnapshot
CustomFeedFilter
Layout
Document
CustomPageWebLink
Letterhead
EmailTemplate
QuickAction
FlexiPage
CustomTab
CustomApplicationComponent
CustomApplication
CustomMetadata
Flow
FlowDefinition
ContentAsset
Workflow
AssignmentRules
AutoResponseRules
EscalationRules
PostTemplate
ApprovalProcess
HomePageComponent
HomePageLayout
CustomObjectTranslation
GlobalValueSetTranslation
StandardValueSetTranslation
ApexClass
ApexTrigger
ApexTestSuite
Profile
PermissionSet
MutingPermissionSet
PermissionSetGroup
ProfilePasswordPolicy
ProfileSessionSetting
MyDomainDiscoverableLogin
BlacklistedConsumer
OauthCustomScope
UserProvisioningConfig
DataCategoryGroup
RemoteSiteSetting
CspTrustedSite
RedirectWhitelistUrl
MatchingRules
DuplicateRule
CleanDataService
CustomIndex
Skill
AuthProvider
EclairGeoData
IPAddressRange
BriefcaseDefinition
ChannelLayout
CustomSite
ApexEmailNotifications
SharingRules
SharingSet
IframeWhiteListUrlSettings
Community
ChatterExtension
AIApplication
AIApplicationConfig
MLPredictionDefinition
MLRecommendationDefinition
MLDataDefinition
PlatformEventChannel
PlatformEventChannelMember
CallCenter
MilestoneType
EntitlementProcess
EntitlementTemplate
AppointmentSchedulingPolicy
CanvasMetadata
MobileApplicationDetail
CustomNotificationType
ConnectedApp
AppMenu
NotificationTypeConfig
DelegateGroup
BrandingSet
ManagedContentType
SiteDotCom
NetworkBranding
FlowCategory
LightningBolt
LightningExperienceTheme
LightningOnboardingConfig
CustomHelpMenuSection
Prompt
SamlSsoConfig
CorsWhitelistOrigin
ActionLinkGroupTemplate
TransactionSecurityPolicy
SynonymDictionary
PathAssistant
AnimationRule
LeadConvertSettings
LiveChatSensitiveDataRule
PlatformCachePartition
TopicsForObjects
AccessControlPolicy
RestrictionRule
FieldRestrictionRule
RecommendationStrategy
EntityImplements
EmailServicesFunction
PaymentGatewayProvider
GatewayProviderPaymentMethodType
RecordActionDeployment
EmbeddedServiceConfig
EmbeddedServiceBranding
EmbeddedServiceFlowConfig
EmbeddedServiceMenuSettings
CallCoachingMediaProvider
PlatformEventSubscriberConfig
Settings
